WThk,FL,MeshSize_XY,MaxEPS
0.378676,1.066887,1.55,3.7783553e-06
0.224898,0.639111,1.55,1.3366707e-06
0.154801,0.985549,1.55,2.459159e-06
0.400021,0.708187,1.55,1.9015293e-06
0.476147,0.873103,1.55,5.1957556e-06
0.127417,0.822009,1.55,1.6073106e-06
0.25232,1.174557,1.55,4.2305731e-06
0.302493,0.530083,1.55,1.6746992e-06
0.343454,0.966628,1.55,2.2852731e-06
0.284105,0.738132,1.55,1.582318e-06
0.116534,1.080756,1.55,1.9403757e-06
0.462277,0.61439,1.55,3.5142138e-06
0.440932,1.149461,1.55,4.5347711e-06
0.186631,0.544327,1.55,1.7544338e-06
0.214059,0.902717,1.55,2.9973952e-06
0.364755,0.803419,1.55,1.2491834e-06
0.347514,0.935494,1.55,3.7721087e-06
0.205781,0.770593,1.55,2.1773404e-06
0.184436,1.116678,1.55,
0.417611,0.577147,1.55,9.9873914e-07
0.445037,1.091729,1.55,4.8367509e-06
0.108255,0.603466,1.55,8.0484662e-07
0.28191,0.955661,1.55,3.8648481e-06
0.320133,0.749062,1.55,1.2084415e-06
0.312295,1.185502,1.55,6.8882225e-06
0.264991,0.519175,1.55,2.3432708e-06
0.146168,0.862152,1.55,1.9517406e-06
0.479866,0.832912,1.55,4.950946e-06
0.409823,1.018354,1.55,2.2991463e-06
0.167471,0.675346,1.55,1.773359e-06
0.243649,1.034088,1.55,2.4999711e-06
0.382394,0.671959,1.55,
0.389245,0.992318,1.55,2.0899483e-06
0.238312,0.701635,1.55,1.7119512e-06
0.162135,1.054556,1.55,3.2656761e-06
0.416674,0.651744,1.55,
0.486726,1.164959,1.55,5.8758847e-06
0.14084,0.539977,1.55,1.2961615e-06
0.259663,0.888071,1.55,4.0831567e-06
0.319154,0.807252,1.55,2.0960178e-06
0.326991,1.074161,1.55,4.9072398e-06
0.27658,0.621116,1.55,1.1294402e-06
0.102925,0.979132,1.55,1.4961889e-06
0.451894,0.725673,1.55,3.4475007e-06
0.424465,0.912482,1.55,3.1317386e-06
0.179103,0.793693,1.55,1.9153097e-06
0.200448,1.134662,1.55,3.5055019e-06
0.354369,0.559252,1.55,9.3846981e-07
0.357898,1.123711,1.55,
