,coilable,sigma_crit,energy
0,0.0,,
1,1.0,72.80256392841186,27.523754109463685
2,0.0,24.14316824726816,
3,1.0,125.8622754761603,34.05936304790451
4,1.0,75.06383735986151,23.9164082804345
5,0.0,10.228060586812036,6.727474685812158
6,1.0,17.183640895745754,28.666147212337115
7,1.0,22.11235117341557,17.16619921106404
8,1.0,47.303395566000766,41.70141440587882
9,0.0,137.3952792723714,
10,1.0,11.903643827683508,15.163120137226448
11,0.0,12.40377232085548,
12,1.0,15.953691495531586,
13,1.0,29.483134897887428,75.57463876118074
14,0.0,20.039517194586725,9.90866998258082
15,0.0,48.48368862397026,
16,0.0,61.34595450488487,
17,1.0,5.003067467082348,
18,0.0,30.73600260990683,
19,1.0,56.850145672425015,37.98510524976916
20,1.0,22.74260474805948,66.98568993211543
21,0.0,38.124611688004975,
22,1.0,4.307624027748002,15.571817762846152
23,0.0,18.860497376161963,
24,1.0,15.574266111200508,
25,0.0,7.594619236436299,
26,1.0,81.84129145648679,35.52839978631824
27,1.0,18.4887114290993,22.98274781093892
28,0.0,16.40059857573363,
29,1.0,22.58472304451232,22.211377708411664
30,1.0,7.711247978734039,
31,1.0,37.50836374835316,
32,1.0,63.71036033945806,54.93448297135448
33,1.0,4.687686031851449,10.102383899367815
34,1.0,1.5440575959003318,2.2572204633972284
35,1.0,14.960564650638162,
36,0.0,17.123798637143206,
37,0.0,49.01844923275903,
38,1.0,30.92571530207237,11.533172031375988
39,1.0,84.52528041678852,35.5900777718151
40,1.0,9.851563653433848,
41,1.0,32.528723888893936,32.032760864842025
42,0.0,2.959008701964518,2.796348985711947
43,0.0,30.68125330948321,
44,1.0,33.29521409482451,38.95008260860529
45,1.0,50.93340150804071,14.862905832408236
46,1.0,41.88066834497371,27.65137402097441
47,0.0,15.27123509955354,
48,1.0,8.898798502108527,21.7104489842687
49,0.0,22.29569766785744,
50,1.0,20.282705947631143,37.9340854676987
51,0.0,23.768835821116017,12.30571294679832
52,1.0,33.94456626263944,16.609211574439907
53,1.0,73.15270480321404,
54,1.0,11.078329954786176,
55,1.0,4.235813317424939,
56,0.0,12.900463067256668,
57,0.0,108.47618949280168,
58,1.0,12.075021870404862,
59,0.0,72.51099207266752,
60,1.0,7.872567429051985,
61,0.0,26.19053743520229,
62,1.0,45.14143481904046,
63,0.0,18.95217062338289,
64,1.0,53.28889466580076,43.25687705349663
65,0.0,59.36988673145591,
66,1.0,33.4760141101769,39.70764896870554
67,0.0,4.365174455170031,
68,1.0,2.843016579439145,
69,1.0,92.0934162706943,77.2819759032127
70,1.0,41.74315847414231,9.591116499492204
71,1.0,21.376418716558643,
72,0.0,54.16997643075749,
73,1.0,22.745151227148945,36.55040272355788
74,0.0,25.494075404232163,
75,1.0,18.483618470920355,43.35616485309302
76,1.0,38.34360888969942,17.733569048920053
77,0.0,0.6617407885852061,0.4538091159889845
78,1.0,9.712525895148769,13.636988696656353
79,1.0,59.74167267851856,10.671907829946218
80,1.0,10.126201423233224,13.419993156249705
81,0.0,27.52998543626369,
82,1.0,24.97077395134601,
83,0.0,43.27359240691398,
84,0.0,5.563420190720294,
85,1.0,19.78359604609496,20.068607992797624
86,1.0,20.024238320049907,
87,0.0,59.47047265548998,
88,1.0,12.313754285042704,
89,0.0,50.14399299030492,
90,1.0,7.194694695434984,
91,1.0,113.46601526861876,34.9028588120029
92,1.0,40.747485150159406,83.48697386637852
93,0.0,60.69023613934627,
94,1.0,43.58171637673989,52.01286383700714
95,0.0,42.53638671051231,
96,1.0,23.42506114403752,23.624755377873715
97,1.0,146.20609692193872,32.496188219556906
98,1.0,5.896626979577485,6.992312655982158
99,0.0,55.55271457633988,
100,1.0,22.42047514324148,31.196058135411977
101,1.0,29.418199681105936,11.279292566104942
102,1.0,2.7896678425147416,19.1125276824156
103,0.0,2.016938762814972,
104,1.0,16.305105609878495,
105,0.0,11.474434777153286,7.50615371708429
106,1.0,22.093252580244545,
107,0.0,87.84079619127887,
108,1.0,13.296440565669304,19.733747899021683
109,0.0,47.78213363482118,
110,1.0,31.655281561205616,18.449156573258204
111,1.0,12.65638304653094,60.08745409095747
112,0.0,10.12900255023164,
113,0.0,102.44994672757014,
114,1.0,20.668497529685897,18.79289896852192
115,1.0,10.038220570692024,34.49279195069571
116,1.0,9.876009852692764,20.98650854694732
117,1.0,38.36016100378098,17.812602989740952
118,1.0,72.75290758616718,54.72538560937335
119,0.0,25.328554263416592,
120,1.0,13.893589912150096,21.252015040634745
121,1.0,0.6410761107741545,24.14866578216981
122,1.0,40.918099249153926,
123,1.0,32.53763656570709,7.745972056665554
124,1.0,75.25736977066126,14.393008887702376
125,0.0,83.40737609651104,
126,0.0,3.7100927094037903,
127,0.0,32.26516330313376,
128,0.0,21.19179898257205,
129,1.0,61.53312071796094,31.76472704624391
130,0.0,22.48031740184404,
131,0.0,47.36705754323752,
132,1.0,38.8605441448619,44.43483076195749
133,1.0,18.33719592327581,14.116060568876282
134,1.0,114.16502377867836,30.41183335942356
135,0.0,14.993668878801277,
136,1.0,3.525600299371665,
137,0.0,15.520790050321631,
138,1.0,0.8420951700969419,
139,1.0,93.76008683475264,33.386310030086534
140,0.0,27.8419291247238,
141,1.0,12.124041592877166,28.651908283567835
142,1.0,15.720688658845054,18.995137478293465
143,1.0,17.178547937566815,
144,0.0,20.11209184863663,
145,1.0,47.9056378706605,
146,1.0,43.02149097705641,26.833928751256263
147,1.0,42.42306839103088,32.69293432433674
148,1.0,30.825129378038287,
149,0.0,10.907843179746138,6.313655938722544
150,1.0,10.07718170076092,30.67698918391549
151,0.0,41.56108521924518,
152,1.0,36.12817208186024,25.58681386661504
153,0.0,26.063213480728777,
154,1.0,18.189500136086536,
155,0.0,1.8706435391249008,
156,1.0,2.424502741084697,9.77816832349528
157,1.0,57.95404435771041,
158,0.0,13.7344349690582,
159,1.0,102.55307913069367,30.655226248865084
160,1.0,7.991615326484721,10.71215234289221
161,1.0,61.79031510599744,
162,1.0,50.75514797177779,32.496447296707444
163,0.0,31.334425195932354,
164,0.0,43.41746847546905,
165,1.0,194.21996015390167,72.55104537937332
166,1.0,10.87321106412934,7.571567408767509
167,0.0,36.47321999848347,
168,0.0,14.376147699604722,
169,0.0,48.95096753688806,
170,1.0,0.613905178889506,
171,1.0,8.723855388661914,32.77287028339716
172,1.0,3.1669287196197704,14.275696384490152
173,0.0,19.83070590925016,
174,1.0,29.90712366628423,40.51738884274678
175,0.0,78.90010810814856,
176,1.0,22.440846975957243,
177,1.0,22.57453712815444,4.367016363482342
178,1.0,43.97896711469726,41.02350709599608
179,0.0,20.03060451777358,
180,1.0,3.137644210090861,
181,1.0,47.42180684366113,24.57438028818869
182,1.0,86.43004677571233,18.53458322820304
183,1.0,33.79687047545016,60.20358111996464
184,1.0,49.29346897442182,
185,1.0,99.2948591357164,47.64485108403888
186,0.0,14.07948288568143,
187,1.0,57.3925457184822,
188,1.0,61.27847280901391,62.16722524421006
189,0.0,,
190,1.0,13.31299267975086,16.521307417039875
191,0.0,26.61579944314384,
192,1.0,44.43987982989138,40.820465269986414
193,0.0,8.994800763781557,6.230767203430864
194,1.0,37.07418906359847,32.19196436912625
195,1.0,45.28149116896133,16.573469383414285
196,1.0,5.388604401228156,21.84257806630102
197,0.0,89.83596255787889,
198,1.0,7.42120401044337,
199,1.0,119.2032326571954,69.94721841728638
200,1.0,20.23814256356541,20.035825441455216
201,1.0,9.913952391125871,
202,1.0,39.910966769268406,7.838044371499468
203,0.0,80.50311669497013,
204,1.0,1.536672806540868,
205,0.0,131.5256449711423,
206,1.0,13.37665465698762,27.397528168687547
207,0.0,2.2747697706238417,
208,1.0,59.53540787227147,34.03204007494063
209,0.0,56.03909208242872,
210,1.0,4.485113620284085,7.459918006762245
211,0.0,40.042110442376135,
212,0.0,44.71362633200945,
213,1.0,11.30331138234088,35.259234625926275
214,0.0,0.4293745716710389,0.463516532282254
215,1.0,43.413648756834846,20.168487951975408
216,0.0,8.817438495199948,
217,1.0,73.73202879606853,
218,0.0,66.17662533761008,
219,0.0,54.9772103021196,
