WThk,FL,MeshSize_XY,MaxEPS
0.278169,0.971137,1.1,1.0789991e-06
0.366304,0.847519,1.1,1.2193508e-06
0.448085,1.033215,1.1,4.4171837e-06
0.194849,0.544728,1.1,5.2539483e-07
0.13436,1.167777,1.1,1.6685399e-06
0.411852,0.607813,1.1,1.5357761e-06
0.304157,0.925143,1.1,2.2649422e-06
0.240516,0.697234,1.1,1.537974e-06
0.212614,1.078694,1.1,2.7123175e-06
0.325216,0.502665,1.1,2.5404921e-07
0.431186,1.016617,1.1,2.9146311e-06
0.105111,0.805456,1.1,9.5153983e-07
0.166398,0.882396,1.1,1.2781891e-06
0.468169,0.74203,1.1,3.9306793e-06
0.385042,1.125031,1.1,3.1799265e-06
0.247993,0.652609,1.1,1.3776297e-06
0.267573,1.136497,1.1,3.3388635e-06
0.379938,0.662996,1.1,1.3032775e-06
0.486099,0.87062,1.1,5.5097714e-06
0.15988,0.731909,1.1,1.4024168e-06
0.123619,0.983265,1.1,1.1390686e-06
0.42563,0.773162,1.1,2.4765565e-06
0.342312,1.112335,1.1,1.8180306e-06
0.205405,0.534628,1.1,
0.223252,0.913324,1.1,1.8312756e-06
0.311528,0.687156,1.1,1.1105013e-06
0.393119,1.179201,1.1,2.9907469e-06
0.140122,0.618243,1.1,3.8878699e-07
0.177085,1.066898,1.1,2.3637476e-06
0.454433,0.576649,1.1,2.2002351e-06
0.346928,0.937828,1.1,2.2521914e-06
0.283052,0.815182,1.1,1.2509649e-06
